Emp ID,First Name,Last Name,Gender,Age,Year of Joining,Age_in_Company,Salary
458320,Tessa,Pace,Female,60,2009,4,44198
145327,Erin,Olsen,Male,23,2012,1,66575
451972,Waldo,Shields,Male,47,2008,5,62435
337955,Jeremiah,Dotson,Male,30,2011,2,42840
144114,Nancy,Gillespie,Female,38,2008,6,41796
404070,Aldo,Medina,Male,44,2008,7,61791
311079,Morgan,Farrell,Male,29,2009,5,48192
220061,Norbert,Joyner,Male,52,2008,8,40749
423008,Inez,Kane,Female,33,2012,2,77392
397164,Silvia,Huff,Female,44,2009,6,67189
176214,Josephine,Pitts,Female,45,2011,4,40040
295933,Nestor,Rosales,Male,39,2013,2,71204
339806,Chrystal,Pittman,Female,51,2011,4,63095
415537,Shirley,Herrera,Female,41,2013,1,73333
126316,Roseann,Riley,Female,41,2013,1,73715
230226,Dona,Maxwell,Female,41,2011,3,61066
168016,Mauro,Marshall,Male,29,2011,3,55874
498653,Vincent,Case,Male,35,2009,9,77053
228229,Ines,Dominguez,Female,43,2012,3,59681
249736,Lina,Shannon,Female,37,2008,7,65222
285184,Ginger,Palmer,Female,40,2011,4,46866
